created,custom,delete,external,id,modified,module,name,package,parent_urn,pending,project,protected,provider_urn,stack,type,urn,teams,properties,category,account,managed
,true,false,true,igw-ed1bfe8a:vpc-a3baaec4,,ec2,igw-ed1bfe8a:vpc-a3baaec4,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/internetGatewayAttachment:InternetGatewayAttachment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/internetGatewayAttachment:InternetGatewayAttachment::igw-ed1bfe8a:vpc-a3baaec4,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,default,,elasticache,default,aws,,,sentify_demo,false,,ap-southeast-2,aws:elasticache/user:User,urn:insights:sentify_demo/ap-southeast-2::aws::aws:elasticache/user:User::default,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,AWSKeyPair,,ec2,AWSKeyPair,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/keyPair:KeyPair,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/keyPair:KeyPair::AWSKeyPair,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,vpc-0468cbacaa8f8a432,,ec2,vpc-0468cbacaa8f8a432,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/vpc:Vpc,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/vpc:Vpc::vpc-0468cbacaa8f8a432,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,default/AutoScalingManagedRule/autoscaling,,cloudwatch,AutoScalingManagedRule-autoscaling,aws,,,sentify_demo,false,,ap-southeast-2,aws:cloudwatch/eventTarget:EventTarget,urn:insights:sentify_demo/ap-southeast-2::aws::aws:cloudwatch/eventTarget:EventTarget::default/AutoScalingManagedRule/autoscaling,,,observability,sentify_demo/ap-southeast-2,Other
,true,false,true,arn:aws:lambda:ap-southeast-2:155742740775:function:demo-api-handler/6f98d7bb-6063-5c08-886f-18eb61c88e8b,,lambda,6f98d7bb-6063-5c08-886f-18eb61c88e8b,aws,,,sentify_demo,false,,ap-southeast-2,aws:lambda/permission:Permission,urn:insights:sentify_demo/ap-southeast-2::aws::aws:lambda/permission:Permission::arn:aws:lambda:ap-southeast-2:155742740775:function:demo-api-handler/6f98d7bb-6063-5c08-886f-18eb61c88e8b,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-07710eed3a59afa50_172.30.0.0/16,,ec2,r-rtb-07710eed3a59afa50689798185,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/route:Route::rtb-07710eed3a59afa50_172.30.0.0/16,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-07710eed3a59afa50_0.0.0.0/0,,ec2,r-rtb-07710eed3a59afa501080289494,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/route:Route::rtb-07710eed3a59afa50_0.0.0.0/0,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,vpc-a3baaec4,,ec2,vpc-a3baaec4,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/vpc:Vpc,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/vpc:Vpc::vpc-a3baaec4,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,b2d7b723-c5dc-465a-a852-7345a6c0ad50,,kms,b2d7b723-c5dc-465a-a852-7345a6c0ad50,aws,,,sentify_demo,false,,ap-southeast-2,aws:kms/key:Key,urn:insights:sentify_demo/ap-southeast-2::aws::aws:kms/key:Key::b2d7b723-c5dc-465a-a852-7345a6c0ad50,,,security,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/hb65r02,,apigatewayv2,hb65r02,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/route:Route::1zad76qte6/hb65r02,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/j4w85g,,apigatewayv2,j4w85g,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/deployment:Deployment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/deployment:Deployment::1zad76qte6/j4w85g,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,igw-02e84c34cbd72e88f,,ec2,igw-02e84c34cbd72e88f,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/internetGateway:InternetGateway,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/internetGateway:InternetGateway::igw-02e84c34cbd72e88f,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-0d7b8757bb12678ea,,ec2,subnet-0d7b8757bb12678ea,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-0d7b8757bb12678ea,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,iot:Jobs,,iot,iot:Jobs,aws,,,sentify_demo,false,,ap-southeast-2,aws:iot/domainConfiguration:DomainConfiguration,urn:insights:sentify_demo/ap-southeast-2::aws::aws:iot/domainConfiguration:DomainConfiguration::iot:Jobs,,,misc,sentify_demo/ap-southeast-2,Other
,true,false,true,AWSQuickSetup-CreateAndAttachIAMToInstance-o6aua,,ssm,AWSQuickSetup-CreateAndAttachIAMToInstance-o6aua,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/document:Document,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/document:Document::AWSQuickSetup-CreateAndAttachIAMToInstance-o6aua,,,management,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-001bc1f350d4499b5,,ec2,launch-wizard-2,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-001bc1f350d4499b5,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-91d841f7,,ec2,rtb-91d841f7,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/routeTable:RouteTable,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/routeTable:RouteTable::rtb-91d841f7,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-07710eed3a59afa50,,ec2,rtb-07710eed3a59afa50,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/routeTable:RouteTable,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/routeTable:RouteTable::rtb-07710eed3a59afa50,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,iot:Data-ATS,,iot,iot:Data-ATS,aws,,,sentify_demo,false,,ap-southeast-2,aws:iot/domainConfiguration:DomainConfiguration,urn:insights:sentify_demo/ap-southeast-2::aws::aws:iot/domainConfiguration:DomainConfiguration::iot:Data-ATS,,,misc,sentify_demo/ap-southeast-2,Other
,true,false,true,Default,,xray,Default,aws,,,sentify_demo,false,,ap-southeast-2,aws:xray/samplingRule:SamplingRule,urn:insights:sentify_demo/ap-southeast-2::aws::aws:xray/samplingRule:SamplingRule::Default,,,build,sentify_demo/ap-southeast-2,Other
,true,false,true,1zad76qte6/1wgz5g,,apigatewayv2,1wgz5g,aws,,,sentify_demo,false,,ap-southeast-2,aws:apigatewayv2/deployment:Deployment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:apigatewayv2/deployment:Deployment::1zad76qte6/1wgz5g,,,network,sentify_demo/ap-southeast-2,Other
,true,false,true,igw-06065aab9462f0e4f,,ec2,igw-06065aab9462f0e4f,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/internetGateway:InternetGateway,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/internetGateway:InternetGateway::igw-06065aab9462f0e4f,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,aws-cloudtrail-logs-155742740775-21b40f4f,,s3,aws-cloudtrail-logs-155742740775-21b40f4f,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucket:Bucket,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucket:Bucket::aws-cloudtrail-logs-155742740775-21b40f4f,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-06d9c174f82ec5b2d,,ec2,launch-wizard-3,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-06d9c174f82ec5b2d,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-08cec476d21cf12d8,,ec2,launch-wizard-4,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-08cec476d21cf12d8,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,mutual-poc-truststore,,s3,mutual-poc-truststore,aws,,,sentify_demo,false,,ap-southeast-2,aws:s3/bucketPolicy:BucketPolicy,urn:insights:sentify_demo/ap-southeast-2::aws::aws:s3/bucketPolicy:BucketPolicy::mutual-poc-truststore,,,storage,sentify_demo/ap-southeast-2,Other
,true,false,true,igw-06065aab9462f0e4f:vpc-0468cbacaa8f8a432,,ec2,igw-06065aab9462f0e4f:vpc-0468cbacaa8f8a432,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/internetGatewayAttachment:InternetGatewayAttachment,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/internetGatewayAttachment:InternetGatewayAttachment::igw-06065aab9462f0e4f:vpc-0468cbacaa8f8a432,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,sg-09ecaa5ca7c8b54ae,,ec2,postgres-inbound,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/securityGroup:SecurityGroup,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/securityGroup:SecurityGroup::sg-09ecaa5ca7c8b54ae,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,subnet-de6a0486,,ec2,subnet-de6a0486,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/subnet:Subnet,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/subnet:Subnet::subnet-de6a0486,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,lt-0df7f96195044fb9d,,ec2,ConfluenceServer,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/launchTemplate:LaunchTemplate,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/launchTemplate:LaunchTemplate::lt-0df7f96195044fb9d,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,default,,memorydb,default,aws,,,sentify_demo,false,,ap-southeast-2,aws:memorydb/user:User,urn:insights:sentify_demo/ap-southeast-2::aws::aws:memorydb/user:User::default,,,data,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-0f1513e167c8d0a9d_172.30.0.0/16,,ec2,r-rtb-0f1513e167c8d0a9d689798185,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/route:Route::rtb-0f1513e167c8d0a9d_172.30.0.0/16,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,rtb-91d841f7_0.0.0.0/0,,ec2,r-rtb-91d841f71080289494,aws,,,sentify_demo,false,,ap-southeast-2,aws:ec2/route:Route,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ec2/route:Route::rtb-91d841f7_0.0.0.0/0,,,compute,sentify_demo/ap-southeast-2,Other
,true,false,true,7558b49c-9be5-493e-8429-3d670e30422d,,ssm,AWSQuickSetup-CreateAndAttachIAMToInstance-o6aua,aws,,,sentify_demo,false,,ap-southeast-2,aws:ssm/association:Association,urn:insights:sentify_demo/ap-southeast-2::aws::aws:ssm/association:Association::7558b49c-9be5-493e-8429-3d670e30422d,,,management,sentify_demo/ap-southeast-2,Other
